,cash_and_equivalents,receivables,notes_receivable,inventories,other_current_assets,total_current_assets,net_property_and_equipment,investments_and_advances,other_non_current_assets,deferred_charges,intangibles,deposits_and_other_assets,total_assets,preferred_stock,common_stock,capital_surplus,retained_earnings,other_equity,treasury_stock,total_equity,total_liabilities_and_equity,shares_outstanding,book_value_per_share,notes_payable,accounts_payable,current_portion_long_term_debt,current_portion_capital_leases,accrued_expenses,income_taxes_payable,other_current_liabilities,total_current_liabilities,mortgages,deferred_taxes_or_income,convertible_debt,long_term_debt,non_current_capital_leases,other_non_current_liabilities,minority_interest_x,total_liabilities,sales,cost_of_goods,gross_profit,selling_administrative_depreciation_amortization_expenses,income_after_depreciation_and_amortization,non_operating_income,interest_expense,pretax_income,income_taxes,minority_interest_y,investment_gains,other_income,income_from_continuing_operations,extras_and_discontinued_operations,net_income
book_value_per_share,0.15726415070153807,0.10302804046558806,0.06095931192339907,-0.0829502421591433,0.008501646392789908,0.12661124438514315,0.2197386776241488,0.09026145421921346,-0.003778033158822526,0.0419545326045628,0.09009700584655746,0.11457182945006429,0.1957633315128876,0.024706258002555877,-0.014872645908989889,0.18704143903292386,0.22988580228818584,0.041821645906352185,-0.0265492006137832,0.3608858835169541,0.1957633315128876,-0.146623676331338,1.0,0.06042717035433646,0.07358694127406996,-0.024931454888733863,0.026424647660423652,0.1747406077714302,0.07722148422342509,0.00139030110706943,0.08035690226897999,0.262770589493205,0.059878669923534716,-0.10476308705036864,0.03242750074552811,0.04854723642520231,0.04099082566063323,0.11916314904838084,0.08751426942947166,0.19016496342410663,0.1794693199568653,0.1679737413021042,0.16578583846263245,0.11534448074625589,0.08635195829587386,0.08013672453070292,0.12045308434901504,0.10878652031355047,0.06880472185926731,-0.021815639745197242,-0.02026320160194217,0.11647824761879155,-0.0007625600836717712,0.11475651681312846
notes_payable,0.8525379407604459,0.8929312163615144,0.010907967549092222,-0.006898058436415003,-0.01635760630847428,0.8584606716359625,0.02485164566106916,0.6843347571612284,-0.014609385124255692,0.006806131133576244,0.0398073172072584,0.31274676278786095,0.660480106429789,0.559070775407326,0.0343647881766251,0.094454150183655,0.160806672788295,-0.24987609502991673,0.08562183392242272,0.16318829029650553,0.660480106429789,0.04152667532380321,0.06042717035433646,1.0,0.9460258485266052,-0.032197856349244124,0.0008013552805732659,0.22195372181790657,0.01901692924474755,0.2077067345327169,0.8874819449878859,-0.004348730427026087,0.006648509686388256,-0.01790653573501366,0.340649307550018,-0.009291671781776213,0.1656795171141503,0.0050294665142754475,0.7686022738101355,0.05278953802703142,0.01521044093821797,0.1047694211593397,0.07395521545841596,0.11309505203511473,-0.007032079083715844,0.8279424385024847,0.02554014677940165,0.022258477120662378,0.020155971297875944,-0.0006091667611660352,-0.003698719812352498,0.02499367243380632,0.003526204062621992,0.024962297373797855
accounts_payable,0.88306087004357,0.9577079694225111,0.0525483624719199,0.10136867429518225,0.023132923875606955,0.9247415198237993,0.1407632999598494,0.7880808112675398,0.030398310837962513,-0.00957909946281032,0.07763339417076906,0.4171386964122382,0.782531515354827,0.5781361278954832,0.08458284504643679,0.13186978116492787,0.21887350454245022,-0.20533931955164636,0.08097444272369042,0.26931288470544457,0.782531515354827,0.15040875128844594,0.07358694127406996,0.9460258485266052,1.0,0.061622119854779146,0.013358505582004828,0.3467199445911554,0.02395539798558918,0.3212896824288223,0.9666390140161236,-0.016050937609251303,0.06745997683599542,-0.034724206005973236,0.4431765712795804,0.022162975713745526,0.24549954746155067,0.02678917212682411,0.8765297719559704,0.22892034522430046,0.18315930514370077,0.25747404055810696,0.22715916711351536,0.21447737007934323,0.01596344680722755,0.8573171106692069,0.12513895016554386,0.11782919748058135,0.09687030083330718,-0.004497347406728837,-0.00526364871340176,0.12022870592638935,-0.0009777409472054653,0.11806310776099092
current_portion_long_term_debt,0.08396183950190135,0.10594230098619489,0.5238037540752567,0.19576661586587915,0.17041435126390633,0.17786574669848715,0.17466537238707797,0.08565215984103963,0.8379121652960727,0.42519933962551826,0.1387350281711387,0.2957244114247362,0.2873587663831058,-0.02441299516187052,0.12363107977292397,0.06815396545466229,0.056311715527159426,-0.0844622660821738,-0.012369065897414462,0.1297422381037891,0.2873587663831058,0.220334900584568,-0.024931454888733863,-0.032197856349244124,0.061622119854779146,1.0,-0.03773133920659597,0.04018911953088921,-0.009744710749447487,0.1021015538070805,0.14934192080982975,-0.03888173421050003,0.16009768384354237,-0.07806986561808926,0.5388244423357186,0.005083634839703669,0.41503751217931806,0.022568241992219868,0.30802904679348025,0.22782815689507188,0.26630617491019193,0.1147541083014065,0.08124051558899255,0.12354165355396686,0.08368057163623058,0.1418503037248873,0.1177637752286928,0.09724490497469587,0.005326103542162161,-0.03841299309137486,-0.00834937375445911,0.1157617210559202,-0.009868815555772546,0.11397577273679231
current_portion_capital_leases,0.002275754378448121,-0.02026636219504075,-0.034040682364694874,0.10666009289652302,-0.01833026892552112,0.0028298849540209408,0.05462663943060817,-0.041252479661142684,-0.018265714661763636,-0.04065089017319144,-0.059156434082011655,0.2670632349443685,0.02933513539778839,-0.01616659291951237,-0.061786431296608255,0.14838657792789778,-0.03913568445682198,0.014062161214581823,-0.06468064109056039,0.04519792488135223,0.02933513539778839,0.02110324345641494,0.026424647660423652,0.0008013552805732659,0.013358505582004828,-0.03773133920659597,1.0,0.03449712114010611,-0.04375678810650585,-0.03853842564389101,0.004804135819089415,0.03625249665330967,0.05919454751228065,-0.030757173941149497,0.007519964810066936,0.4347006885959654,-0.058448423707967774,0.010729552328098151,0.017100805510651573,0.11528044523463535,0.1422496851053517,0.04870700657884282,0.08059375180120676,-0.011997775624605795,-0.0254089970982366,0.030149036907746847,-0.019593558460853498,-0.03447394380183278,0.024292394377510306,-0.0006098935652202547,-0.006777437513714394,-0.014643018269823855,-0.0013284653184297893,-0.015114487419979802
accrued_expenses,0.42821944477338997,0.41729573254005603,-0.08555736647851826,0.4070125245411654,0.14201945648211375,0.4767169184630763,0.404979919561602,0.2333885829081408,0.07644073741544657,0.16620649164622317,0.05731831597342113,0.3058984525855067,0.5104062901679965,0.14522953640613706,0.05290567852129636,0.2708537385690821,0.39432498729203597,-0.10640938885299679,0.019893363848557874,0.5603168618213159,0.5104062901679965,0.368801220747751,0.1747406077714302,0.22195372181790657,0.3467199445911554,0.04018911953088921,0.03449712114010611,1.0,0.10887035351242634,0.05542776490843663,0.41363263237558073,-0.04297040683761626,-0.04187737326633127,-0.08377480925687486,0.14659578185186875,0.06579831007047138,0.1999257512863299,-0.054693349332078624,0.3990354911444099,0.5356392805336624,0.42730492949437415,0.6046158397934479,0.6171133139825318,0.38671038076709296,0.21610750405638576,0.29588232962494654,0.39056643351213555,0.31179929270940826,-0.05690139689764016,-0.03387809615686031,-0.016437778125370978,0.38889375020151923,0.04371049977170801,0.39241865810773774
income_taxes_payable,0.12754369209037458,0.04669081981179712,0.1520929022797187,0.0787287229038148,0.2113892254299809,0.13054332089390708,0.36941989364889577,0.03978151293455773,-0.042377690517064165,0.139851980707622,0.2141368272696503,0.06993306169670829,0.25676970112403424,-0.025776245392024954,0.4170796091909673,0.09108944046838409,0.540596050186776,-0.24559082921903005,0.4521926796672953,0.44887073735799715,0.25676970112403424,0.22719669115483143,0.07722148422342509,0.01901692924474755,0.02395539798558918,-0.009744710749447487,-0.04375678810650585,0.10887035351242634,1.0,0.09450934871102314,0.06589310633042315,-0.037824812886922105,0.21296529471592376,-0.07546985778903198,0.09921294936909436,-0.0248140482662091,0.32088082943846713,-0.05573475254919117,0.1257758725811457,0.21871417444622107,0.14099314335698962,0.30295993068838506,0.18421401576500665,0.36845435749839645,-0.03994083787902997,-0.022647634199167516,0.3531365767726353,0.3490699752396406,0.13404988734990267,-0.0014054837080173484,-0.0020552559409216047,0.3353606685863021,0.060714289589687394,0.3382493940051648
other_current_liabilities,0.4743979181338715,0.45743060886944054,0.0164544354406928,0.1367149133423997,0.3065504119684952,0.5034769918884261,0.014818744461907401,0.6025576798283885,0.03738808363841766,-0.010032665259236576,0.13845193713953632,0.23163381276015316,0.46909121937307824,0.28181664902399484,0.2552093212255932,0.014609676039446616,0.097952006955036,-0.08820313398053085,0.031296850371069405,0.17232008018926379,0.46909121937307824,0.20489908307435575,0.00139030110706943,0.2077067345327169,0.3212896824288223,0.1021015538070805,-0.03853842564389101,0.05542776490843663,0.09450934871102314,1.0,0.5202608845354194,-0.03581488723616765,-0.03061844498445976,-0.06895853949209567,0.40263137359090634,-0.023872103625129756,0.26248692685035757,0.0880578252964975,0.5205547033995952,0.2060869978600791,0.1670316000520807,0.22805042986917495,0.14435659590569833,0.2693982175205549,-0.019370821806524538,0.41928395176252403,0.2367460167283953,0.19620598493712066,0.05895554199789454,-0.0020372156076215206,-0.00758154359237396,0.23434347205264616,-0.008945722179090159,0.23145184214218806
total_current_liabilities,0.9227533212002617,0.9756383890400199,0.07531140095897829,0.16935855307877296,0.12358368771880247,0.9731013716745225,0.17242488505233236,0.8369755343928619,0.10511666609567993,0.048330200740116756,0.11607578166352542,0.4591972133759718,0.8500328417535548,0.5726385785014684,0.14783064243725116,0.15006111455417795,0.2590570101056424,-0.22641872543369926,0.08335055877084399,0.3381972573493854,0.8500328417535548,0.22646787668337978,0.08035690226897999,0.8874819449878859,0.9666390140161236,0.14934192080982975,0.004804135819089415,0.41363263237558073,0.06589310633042315,0.5202608845354194,1.0,-0.029475154411876692,0.05177023335660988,-0.06191557307309813,0.5245166352829832,0.01779002769068119,0.32239039707115724,0.03541461212182823,0.9316445914953002,0.30391261300408257,0.24556250834129634,0.337731765076728,0.2887279641377258,0.29424337486872887,0.03743880031321862,0.8565391354761216,0.21029499861715387,0.18342821846733498,0.07932502333522345,-0.010994127875206115,-0.008850756405843058,0.20563925118874662,0.002856841940275822,0.20374281291146207
mortgages,-0.026636854995308858,-0.023589029589287793,-0.020377555355827744,-0.0488544796542594,-0.049541632719040794,-0.03705047503789218,-0.023820643864831407,-0.025149787035724104,-0.019134524927842313,-0.0469509685309462,-0.042473933578180106,-0.04511926947996149,-0.05182600918407589,-0.009677703831053928,-0.037473596036374554,0.008693413652757094,-0.062320025204857965,0.008659946336177605,-0.04522778502639938,-0.04740326395948602,-0.05182600918407589,-0.05911164902215115,0.262770589493205,-0.004348730427026087,-0.016050937609251303,-0.03888173421050003,0.03625249665330967,-0.04297040683761626,-0.037824812886922105,-0.03581488723616765,-0.029475154411876692,1.0,-0.042218473623345305,-0.019641718687796017,-0.049777691547766366,0.11822524768621351,-0.06542076648754021,-0.013849507139141747,-0.04477817119719554,-0.059819391587737955,-0.05163671863620234,-0.06098967847767846,-0.05623650680285852,-0.04741233563720951,-0.01135622847467925,-0.03456732392024254,-0.045456960941080954,-0.03913201649020577,-0.016257821814762697,-0.00036509667324791437,-0.004057133950100148,-0.04465123715621287,-0.0015137698816540994,-0.04438264668647307
deferred_taxes_or_income,-0.02753929549102968,0.020619589320619434,0.0974786008024965,0.05083703120700508,0.21387503241602454,0.024469608438686997,0.6106862291334288,0.030555007971648403,-0.04952689890126648,0.15798785814814867,0.5541196712335003,0.22662600580913098,0.38832283894899566,-0.012828357143002978,0.06277501661188992,0.3376837637149429,0.33813837951588255,0.2173127028021315,0.20429661743615912,0.4347964175196276,0.38832283894899566,0.23277732222934067,0.059878669923534716,0.006648509686388256,0.06745997683599542,0.16009768384354237,0.05919454751228065,-0.04187737326633127,0.21296529471592376,-0.03061844498445976,0.05177023335660988,-0.042218473623345305,1.0,-0.08066452354973919,0.5121773949191569,0.04859252594430587,0.3347991406185065,0.08996682382540988,0.2997743714880081,0.24730978953982263,0.21007606100851225,0.25753400514210023,0.2783998921537761,0.1429991869351168,0.08415722223085179,0.3050188712552042,0.11855399780036632,0.19785068985412277,0.48806409407328705,-0.0019101521371300966,-0.017432634554038633,0.09219099828818328,-0.004535534757311795,0.08392186857294054
convertible_debt,-0.04969200730728161,-0.0480424764314917,-0.04073546892383432,-0.09757681151286117,-0.11318037225780338,-0.07346817290262918,-0.11602722519135199,-0.04480099623120333,-0.038250606216487654,-0.09014967714088538,-0.1124662833859941,-0.10577791494035174,-0.1325466654470307,-0.01934607938882242,-0.06420468954019558,-0.06310761426309444,-0.1276136128264958,0.059356887751793486,-0.09019158554306776,-0.12506078555507005,-0.1325466654470307,-0.06591341843481376,-0.10476308705036864,-0.01790653573501366,-0.034724206005973236,-0.07806986561808926,-0.030757173941149497,-0.08377480925687486,-0.07546985778903198,-0.06895853949209567,-0.06191557307309813,-0.019641718687796017,-0.08066452354973919,1.0,-0.16946173636770218,-0.02619859955631127,-0.1413130604420312,-0.029663040702914426,-0.11280396708295369,-0.12640646151618434,-0.10927145078976083,-0.12861075237871092,-0.1094221170810955,-0.11278733831838332,-0.01609639746626464,-0.08904834284838795,-0.1036976945504208,-0.08342707342707287,-0.03213346931331773,-0.0007298414322811444,-0.008110357256218776,-0.10333031292726051,-0.0030260806507548784,-0.1027318314244072
long_term_debt,0.43312558291187636,0.4721192949592142,0.1884242315859639,0.19738657763991482,0.28721634743130525,0.508999636290966,0.41893225429039205,0.4506823173913728,0.31479032066445933,0.3021231433011532,0.5704573289819398,0.5971397661492108,0.7483520146960109,0.2440355821231168,0.23904591547691464,0.3525025301906888,0.23478645528513276,-0.05219398872207055,0.15086374101862218,0.39052822998865544,0.7483520146960109,0.40068319402109653,0.03242750074552811,0.340649307550018,0.4431765712795804,0.5388244423357186,0.007519964810066936,0.14659578185186875,0.09921294936909436,0.40263137359090634,0.5245166352829832,-0.049777691547766366,0.5121773949191569,-0.16946173636770218,1.0,-0.042622792926912394,0.6520986442520835,0.12447481217253652,0.7785476285878179,0.36705549052237313,0.30599435674401854,0.3916628821128765,0.3583056957443078,0.30843122626363406,0.06901785851428649,0.7051414965995728,0.24422863423990923,0.2228861754637742,0.2529389364284273,-0.020612306148443192,-0.018732605999274652,0.23612298512162513,-0.008495283071841383,0.23036619520396093
non_current_capital_leases,-0.0025855922481852443,-0.021589804679917935,-0.030710411699144805,0.16513720201549412,-0.03353583605588498,0.006778451604655648,0.08094870532206692,-0.03645383574576488,-0.025640916649804238,-0.05192440921696827,-0.046374857811921584,0.0650074452322942,0.017423880593461838,-0.014584981552709063,-0.05489108880351732,0.0239230884519303,-0.014104701909293898,0.009583107691648154,-0.0627355507967383,0.0205535153799438,0.017423880593461838,0.013575952113956928,0.04854723642520231,-0.009291671781776213,0.022162975713745526,0.005083634839703669,0.4347006885959654,0.06579831007047138,-0.0248140482662091,-0.023872103625129756,0.01779002769068119,0.11822524768621351,0.04859252594430587,-0.02619859955631127,-0.042622792926912394,1.0,-0.0762261727925389,0.0063681750089263816,0.012981899133608834,0.19463110621006308,0.23453874233419733,0.08845542289067305,0.1328585935450743,-0.0029167631040030503,-0.008045341700412689,0.017888867145186463,-0.006728989801814422,0.0034373386568454334,0.05372841490998636,-0.000550226410854768,-0.006114386723553661,-0.008839243998720263,-0.001952421418055484,-0.009845464804268676
other_non_current_liabilities,0.3300852645953862,0.2824412131416413,0.1859288653866466,0.18201778463316667,0.40085635443627426,0.3756669156045523,0.475932131886603,0.27858699494987593,0.23912745076654443,0.3581762835789061,0.45902019821956225,0.4837014340924252,0.60713769503528,0.07068254829374476,0.41621725570366663,0.20790309948062732,0.4397729350942433,0.06622202833251307,0.3509479297124179,0.4892502811871678,0.60713769503528,0.4946077769515768,0.04099082566063323,0.1656795171141503,0.24549954746155067,0.41503751217931806,-0.058448423707967774,0.1999257512863299,0.32088082943846713,0.26248692685035757,0.32239039707115724,-0.06542076648754021,0.3347991406185065,-0.1413130604420312,0.6520986442520835,-0.0762261727925389,1.0,0.056321738364594934,0.5542344930498634,0.3935307255394,0.3119647905817735,0.4472547194024079,0.33646087752561815,0.4538006586990664,0.053663199155984755,0.36427907012872796,0.41144278612263246,0.3441623381865911,0.17394702343934942,-0.014882331103627851,0.009337882144118575,0.406203755418313,-0.003102396895585239,0.40157452894399587
