date,act_symbol,period,period_end_date,consensus,recent,count,high,low,year_ago
2017-10-27,CDXS,Current Quarter,2017-09-30,-0.16,-0.13,4,-0.13,-0.18,0.03
2017-10-27,CE,Current Quarter,2017-12-31,1.84,1.81,9,1.97,1.80,1.52
2017-10-27,CEA,Current Quarter,2017-09-30,,,,,,1.80
2017-10-27,CECE,Current Quarter,2017-09-30,0.16,999.00,2,0.16,0.15,0.24
2017-10-27,CELG,Current Quarter,2017-12-31,1.95,1.80,11,2.05,1.89,1.61
2017-10-27,CELH,Current Quarter,2017-09-30,,,,,,
2017-10-27,CELP,Current Quarter,2017-09-30,0.11,0.07,3,0.16,0.07,0.27
2017-10-27,CEMP,Current Quarter,2017-09-30,-0.16,999.00,6,-0.11,-0.21,-0.62
2017-10-27,CENT,Current Quarter,2017-09-30,0.10,0.10,3,0.12,0.07,0.13
2017-10-27,CENX,Current Quarter,2017-12-31,0.40,,2,0.40,0.39,-0.12
2017-10-27,CEQP,Current Quarter,2017-09-30,-0.04,-0.06,3,0.13,-0.19,-0.14
2017-10-27,CERN,Current Quarter,2017-12-31,0.68,0.62,13,0.71,0.65,0.61
2017-10-27,CERS,Current Quarter,2017-09-30,-0.16,-0.16,1,-0.16,-0.16,-0.14
2017-10-27,CETX,Current Quarter,2017-09-30,0.07,0.10,2,0.10,0.03,0.23
2017-10-27,CEVA,Current Quarter,2017-09-30,0.28,0.28,3,0.28,0.27,0.24
2017-10-27,CF,Current Quarter,2017-09-30,-0.55,,6,-0.47,-0.64,0.13
2017-10-27,CFFN,Current Quarter,2017-09-30,0.16,0.16,2,0.16,0.16,0.16
2017-10-27,CFG,Current Quarter,2017-12-31,0.67,0.68,9,0.68,0.67,0.55
2017-10-27,CFMS,Current Quarter,2017-09-30,-0.31,-0.33,5,-0.26,-0.34,-0.31
2017-10-27,CFR,Current Quarter,2017-12-31,1.36,1.34,7,1.41,1.32,1.28
2017-10-27,CFX,Current Quarter,2017-09-30,0.40,0.41,7,0.43,0.35,0.39
2017-10-27,CG,Current Quarter,2017-09-30,0.48,0.45,6,0.57,0.45,0.21
2017-10-27,CGEN,Current Quarter,2017-09-30,-0.19,-0.19,1,-0.19,-0.19,-0.15
2017-10-27,CGG,Current Quarter,2017-09-30,,,,,,-3.95
2017-10-27,CGIX,Current Quarter,2017-09-30,-0.13,-0.13,2,-0.13,-0.13,-0.23
2017-10-27,CGNX,Current Quarter,2017-09-30,1.05,1.04,5,1.08,1.03,0.61
2017-10-27,CHCO,Current Quarter,2017-12-31,0.96,0.96,2,0.97,0.95,0.97
2017-10-27,CHCT,Current Quarter,2017-09-30,0.40,0.40,1,0.40,0.40,0.08
2017-10-27,CHD,Current Quarter,2017-09-30,0.47,0.46,11,0.47,0.46,0.47
2017-10-27,CHDN,Current Quarter,2017-09-30,0.91,0.90,3,0.96,0.86,0.52
2017-10-27,CHE,Current Quarter,2017-12-31,2.24,2.02,2,2.24,2.23,2.10
2017-10-27,CHEF,Current Quarter,2017-09-30,0.10,0.10,2,0.10,0.10,0.07
2017-10-27,CHEK,Current Quarter,2017-09-30,-0.16,,1,-0.16,-0.16,-0.11
2017-10-27,CHFC,Current Quarter,2017-12-31,0.82,0.80,5,0.84,0.79,0.70
2017-10-27,CHFS,Current Quarter,2017-09-30,,,,,,-162.16
2017-10-27,CHGG,Current Quarter,2017-09-30,0.00,0.00,7,0.01,-0.02,-0.03
2017-10-27,CHH,Current Quarter,2017-09-30,0.92,0.92,6,0.95,0.91,0.84
2017-10-27,CHK,Current Quarter,2017-09-30,0.11,0.12,9,0.16,0.00,0.09
2017-10-27,CHKE,Current Quarter,2017-10-31,0.08,0.09,2,0.09,0.07,0.08
2017-10-27,CHKP,Current Quarter,2017-09-30,1.24,1.24,16,1.26,1.22,1.13
2017-10-27,CHMI,Current Quarter,2017-09-30,0.53,0.52,2,0.53,0.52,0.54
2017-10-27,CHRS,Current Quarter,2017-09-30,-1.05,-1.05,1,-1.05,-1.05,1.67
2017-10-27,CHRW,Current Quarter,2017-09-30,0.82,0.81,12,0.85,0.79,0.90
2017-10-27,CHS,Current Quarter,2017-10-31,0.13,0.12,7,0.15,0.11,0.20
2017-10-27,CHSP,Current Quarter,2017-09-30,0.64,0.63,7,0.67,0.63,0.40
2017-10-27,CHTR,Current Quarter,2017-12-31,1.43,1.79,13,2.17,0.87,0.33
2017-10-27,CHUBA,Current Quarter,2017-09-30,0.08,0.08,5,0.08,0.08,0.04
2017-10-27,CHUY,Current Quarter,2017-09-30,0.23,0.23,6,0.24,0.20,0.29
2017-10-27,CI,Current Quarter,2017-09-30,2.35,2.37,10,2.46,2.25,1.94
2017-10-27,CIB,Current Quarter,2017-09-30,0.98,,3,1.05,0.92,0.88
2017-10-27,CIE,Current Quarter,2017-09-30,-1.64,-2.27,2,-1.01,-2.27,-2.70
2017-10-27,CIEN,Current Quarter,2017-10-31,0.50,0.55,12,0.55,0.44,0.44
2017-10-27,CIGI,Current Quarter,2017-09-30,0.47,0.47,1,0.47,0.47,0.40
2017-10-27,CIM,Current Quarter,2017-09-30,0.57,,1,0.57,0.57,0.68
2017-10-27,CINF,Current Quarter,2017-12-31,0.87,0.53,2,0.88,0.85,0.75
2017-10-27,CINR,Current Quarter,2017-09-30,0.49,0.54,2,0.54,0.43,0.55
2017-10-27,CIO,Current Quarter,2017-09-30,0.22,0.21,2,0.22,0.21,-0.08
2017-10-27,CIR,Current Quarter,2017-09-30,0.40,0.43,3,0.43,0.37,0.46
2017-10-27,CIT,Current Quarter,2017-12-31,0.82,0.84,2,0.84,0.80,0.59
2017-10-27,CIVB,Current Quarter,2017-09-30,0.30,0.29,2,0.30,0.29,0.34
2017-10-27,CIVI,Current Quarter,2017-09-30,0.22,0.21,3,0.24,0.21,0.30
2017-10-27,CKH,Current Quarter,2017-09-30,0.40,,1,0.40,0.40,-2.35
2017-10-27,CL,Current Quarter,2017-09-30,0.73,0.73,9,0.75,0.72,0.73
2017-10-27,CLAR,Current Quarter,2017-09-30,0.09,,2,0.09,0.09,0.06
2017-10-27,CLB,Current Quarter,2017-12-31,0.59,,3,0.61,0.58,0.41
2017-10-27,CLBS,Current Quarter,2017-09-30,-0.85,,1,-0.85,-0.85,-1.09
2017-10-27,CLD,Current Quarter,2017-12-31,-0.02,0.06,5,0.03,-0.12,0.39
2017-10-27,CLDT,Current Quarter,2017-09-30,0.67,0.67,4,0.68,0.65,0.34
2017-10-27,CLDX,Current Quarter,2017-09-30,-0.24,-0.23,3,-0.23,-0.26,-0.29
2017-10-27,CLF,Current Quarter,2017-12-31,0.27,0.20,4,0.51,0.14,0.41
2017-10-27,CLFD,Current Quarter,2017-09-30,0.06,,1,0.06,0.06,0.20
2017-10-27,CLGX,Current Quarter,2017-12-31,0.52,0.52,7,0.56,0.45,0.56
2017-10-27,CLH,Current Quarter,2017-09-30,0.39,0.41,4,0.41,0.37,0.16
2017-10-27,CLI,Current Quarter,2017-09-30,0.58,0.58,5,0.60,0.56,-0.10
2017-10-27,CLLS,Current Quarter,2017-09-30,-0.57,-0.60,2,-0.54,-0.60,-0.02
2017-10-27,CLMT,Current Quarter,2017-09-30,0.16,0.29,4,0.29,-0.16,-0.42
2017-10-27,CLNE,Current Quarter,2017-09-30,-0.12,-0.12,2,-0.12,-0.12,-0.08
2017-10-27,CLPR,Current Quarter,2017-12-31,0.10,0.10,1,0.10,0.10,-0.09
2017-10-27,CLR,Current Quarter,2017-09-30,0.04,0.05,14,0.15,-0.12,-0.22
2017-10-27,CLRB,Current Quarter,2017-09-30,,,,,,-0.43
2017-10-27,CLS,Current Quarter,2017-09-30,0.31,0.31,3,0.31,0.31,0.43
2017-10-27,CLSD,Current Quarter,2017-09-30,-0.54,-0.56,4,-0.41,-0.59,-0.28
2017-10-27,CLSN,Current Quarter,2017-09-30,-0.56,-0.56,1,-0.56,-0.56,-3.22
2017-10-27,CLUB,Current Quarter,2017-09-30,-0.06,-0.06,1,-0.06,-0.06,-0.16
2017-10-27,CLVS,Current Quarter,2017-09-30,-1.16,-1.11,6,-1.10,-1.24,-1.70
2017-10-27,CLW,Current Quarter,2017-12-31,0.80,0.82,2,0.82,0.77,0.82
2017-10-27,CLX,Current Quarter,2017-09-30,1.41,1.39,7,1.44,1.38,1.36
2017-10-27,CM,Current Quarter,2017-10-31,2.10,2.15,4,2.15,2.05,1.98
2017-10-27,CMA,Current Quarter,2017-12-31,1.21,1.30,12,1.30,1.16,0.92
2017-10-27,CMC,Current Quarter,2017-11-30,0.32,0.17,3,0.43,0.14,0.10
2017-10-27,CMCO,Current Quarter,2017-09-30,0.45,,2,0.46,0.44,0.36
2017-10-27,CMCSA,Current Quarter,2017-12-31,0.49,0.51,15,0.53,0.47,0.45
2017-10-27,CMD,Current Quarter,2017-10-31,0.52,0.52,1,0.52,0.52,0.51
2017-10-27,CME,Current Quarter,2017-12-31,1.20,1.16,5,1.29,1.16,1.14
2017-10-27,CMFN,Current Quarter,2017-09-30,0.25,0.25,2,0.25,0.25,0.29
2017-10-27,CMG,Current Quarter,2017-12-31,1.40,1.34,14,1.91,1.24,0.55
2017-10-27,CMI,Current Quarter,2017-09-30,2.47,2.52,10,2.59,2.41,2.02
2017-10-27,CMLS,Current Quarter,2017-09-30,-0.27,,1,-0.27,-0.27,-0.51
2017-10-27,CMP,Current Quarter,2017-09-30,0.75,0.79,3,0.79,0.67,0.27
2017-10-27,CMPR,Current Quarter,2017-09-30,-0.33,-0.14,2,-0.14,-0.52,-0.92
2017-10-27,CMRE,Current Quarter,2017-12-31,0.16,0.19,5,0.19,0.12,0.28
2017-10-27,CMRX,Current Quarter,2017-09-30,-0.43,-0.43,5,-0.39,-0.48,-0.37
2017-10-27,CMS,Current Quarter,2017-12-31,0.56,0.54,3,0.58,0.53,0.29
2017-10-27,CMTL,Current Quarter,2017-10-31,-0.28,,2,-0.27,-0.29,-0.11
2017-10-27,CNA,Current Quarter,2017-09-30,0.27,,1,0.27,0.27,1.15
2017-10-27,CNAT,Current Quarter,2017-09-30,-0.05,-0.17,3,0.09,-0.17,-0.31
2017-10-27,CNC,Current Quarter,2017-12-31,0.94,0.92,10,1.07,0.82,1.19
2017-10-27,CNCE,Current Quarter,2017-09-30,-0.54,,2,-0.49,-0.58,-0.51
2017-10-27,CNDT,Current Quarter,2017-09-30,0.21,0.21,4,0.22,0.19,
2017-10-27,CNFR,Current Quarter,2017-09-30,-2.40,-2.45,2,-2.35,-2.45,-0.20
2017-10-27,CNHI,Current Quarter,2017-09-30,0.08,0.06,6,0.09,0.07,0.05
2017-10-27,CNI,Current Quarter,2017-12-31,1.02,1.02,8,1.04,1.00,0.93
